0,0,0
0,1e-07,7.0062e-23
0,2e-07,7.1729e-20
0,3e-07,4.1354e-18
0,4e-07,7.342e-17
0,5e-07,6.8364e-16
0,6e-07,4.232e-15
0,7e-07,1.9766e-14
0,8e-07,7.512e-14
0,9e-07,2.4389e-13
0,1e-06,6.9932e-13
0,1.1e-06,1.8135e-12
0,1.2e-06,4.3282e-12
0,1.3e-06,9.6348e-12
0,1.4e-06,2.0212e-11
0,1.5e-06,4.0285e-11
0,1.6e-06,7.6796e-11
0,1.7e-06,1.4078e-10
0,1.8e-06,2.4928e-10
0,1.9e-06,4.2797e-10
0,2e-06,7.1463e-10
0,2.1e-06,1.1638e-09
0,2.2e-06,1.8528e-09
0,2.3e-06,2.8893e-09
0,2.4e-06,4.4212e-09
0,2.5e-06,6.6487e-09
0,2.6e-06,9.8396e-09
0,2.7e-06,1.4348e-08
0,2.8e-06,2.0637e-08
0,2.9e-06,2.9306e-08
0,3e-06,4.1124e-08
0,3.1e-06,5.7071e-08
0,3.2e-06,7.8381e-08
0,3.3e-06,1.066e-07
0,3.4e-06,1.4365e-07
0,3.5e-06,1.9192e-07
0,3.6e-06,2.5432e-07
0,3.7e-06,3.3441e-07
0,3.8e-06,4.3652e-07
0,3.9e-06,5.6588e-07
0,4e-06,7.2877e-07
0,4.1e-06,9.327e-07
0,4.2e-06,1.1866e-06
0,4.3e-06,1.5011e-06
0,4.4e-06,1.8887e-06
0,4.5e-06,2.3641e-06
0,4.6e-06,2.9446e-06
0,4.7e-06,3.6504e-06
0,4.8e-06,4.5049e-06
0,4.9e-06,5.5354e-06
0,5e-06,6.7732e-06
0,5.1e-06,8.2548e-06
0,5.2e-06,1.0022e-05
0,5.3e-06,1.2122e-05
0,5.4e-06,1.4611e-05
0,5.5e-06,1.755e-05
0,5.6e-06,2.1011e-05
0,5.7e-06,2.5074e-05
0,5.8e-06,2.983e-05
0,5.9e-06,3.5384e-05
0,6e-06,4.1851e-05
0,6.1e-06,4.9363e-05
0,6.2e-06,5.8068e-05
0,6.3e-06,6.8129e-05
0,6.4e-06,7.9732e-05
0,6.5e-06,9.3085e-05
0,6.6e-06,0.00010842
0,6.7e-06,0.00012598
0,6.8e-06,0.00014607
0,6.9e-06,0.00016899
0,7e-06,0.0001951
0,7.1e-06,0.00022479
0,7.2e-06,0.00025848
0,7.3e-06,0.00029664
0,7.4e-06,0.00033981
0,7.5e-06,0.00038854
0,7.6e-06,0.00044346
0,7.7e-06,0.00050528
0,7.8e-06,0.00057475
0,7.9e-06,0.00065269
0,8e-06,0.00074
0,8.1e-06,0.00083769
0,8.2e-06,0.00094683
0,8.3e-06,0.0010686
0,8.4e-06,0.0012043
0,8.5e-06,0.0013552
